n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 25097.40000   450.11400     0.00000   254.75660
 25173.20000   450.11400     0.00000   237.48020
 25249.00000   450.11400     0.00000   236.71860
 25324.80000   450.11400     0.00000   265.94000
 25400.70000   450.11400     0.00000   278.98850
 25476.50000   450.11400     0.00000   279.50900
 25552.30000   450.11400     0.00000   259.30400
 25628.10000   450.11400     0.00000   231.62810
 25703.90000   450.11400     0.00000   243.41990
 25779.70000   450.11400     0.00000   230.67810
 23896.20000   450.11400     0.00000     0.00000
 23888.10000   453.72900     0.00000     0.00000
 23884.50000   455.33800     0.00000     0.00000
 23835.60000   477.08300     0.00000   159.67460
 23808.70000   489.09000     0.00000   298.48570
 23783.20000   500.43700     0.00000    34.78690
 23732.90000   522.84300     0.00000   299.04710
 23730.70000   523.79200     0.00000   299.06290
 23732.90000   525.92300     0.00000   289.60230
 23808.70000   525.92300     0.00000   250.60270
 23884.50000   525.92300     0.00000   248.15150
 23960.30000   525.92300     0.00000   254.39830
 24036.10000   525.92300     0.00000   268.51010
 24111.90000   525.92300     0.00000   264.88910
 24187.70000   525.92300     0.00000   272.05290
 24263.50000   525.92300     0.00000   263.57180
 24339.30000   525.92300     0.00000   261.33510
 24415.10000   525.92300     0.00000   256.40580
 24491.00000   525.92300     0.00000   247.24040
 24566.80000   525.92300     0.00000   244.19210
 24642.60000   525.92300     0.00000   265.74980
 24718.40000   525.92300     0.00000   239.05010
 24794.20000   525.92300     0.00000   255.54350
 24870.00000   525.92300     0.00000   278.15370
 24945.80000   525.92300     0.00000   278.17560
 25021.60000   525.92300     0.00000   238.67640
 25097.40000   525.92300     0.00000   262.50990
 25173.20000   525.92300     0.00000   266.76460
 25249.00000   525.92300     0.00000   235.58570
 25324.80000   525.92300     0.00000   233.65530
 25400.70000   525.92300     0.00000   259.43960
 25476.50000   525.92300     0.00000   229.20140
 25552.30000   525.92300     0.00000   229.97430
 25628.10000   525.92300     0.00000   231.40050
 25703.90000   525.92300     0.00000   243.90330
 25779.70000   525.92300     0.00000   267.97760
 23725.90000   525.92300     0.00000   349.28250
 23678.30000   547.14600     0.00000   328.88840
 23657.10000   556.59500     0.00000     0.00000
 23625.80000   570.50000     0.00000   249.91080
 23581.20000   590.34700     0.00000   262.68040
 23573.40000   593.85400     0.00000   256.56470
 23581.20000   601.73200     0.00000   262.68040
 23657.10000   601.73200     0.00000   271.96220
 23732.90000   601.73200     0.00000   248.09220
 23808.70000   601.73200     0.00000   247.81010
 23884.50000   601.73200     0.00000   268.51010
 23960.30000   601.73200     0.00000   264.01370
 24036.10000   601.73200     0.00000   271.68780
 24111.90000   601.73200     0.00000   267.83420
 24187.70000   601.73200     0.00000   265.43380
 24263.50000   601.73200     0.00000   259.79300
 24339.30000   601.73200     0.00000   248.22370
 24415.10000   601.73200     0.00000   245.24290
 24491.00000   601.73200     0.00000   278.16320
 24566.80000   601.73200     0.00000   278.39790
 24642.60000   601.73200     0.00000   255.31180
 24718.40000   601.73200     0.00000   254.49160
 24794.20000   601.73200     0.00000   254.42870
 24870.00000   601.73200     0.00000   237.15610
 24945.80000   601.73200     0.00000   235.93190
 25021.60000   601.73200     0.00000   266.23380
 25097.40000   601.73200     0.00000   265.54300
 25173.20000   601.73200     0.00000   233.81920
 25249.00000   601.73200     0.00000   259.22430
 25324.80000   601.73200     0.00000   230.27450
 25400.70000   601.73200     0.00000   230.14320
 25476.50000   601.73200     0.00000   265.49590
 25552.30000   601.73200     0.00000   229.36680
 25628.10000   601.73200     0.00000   229.46840
 25703.90000   601.73200     0.00000   227.97550
 25779.70000   601.73200     0.00000   247.36870
 23555.70000   601.73200     0.00000   256.56470
 23520.90000   617.20800     0.00000   266.12280
 23505.40000   624.09900     0.00000     0.00000
 23468.50000   640.56300     0.00000   197.26480
 23429.60000   657.85100     0.00000   346.93890
 23416.00000   663.91700     0.00000   355.66740
 23429.60000   677.54000     0.00000   279.69630
 23505.40000   677.54000     0.00000   255.14380
 23581.20000   677.54000     0.00000   248.02330
 23657.10000   677.54000     0.00000   254.15390
 23732.90000   677.54000     0.00000   268.51050
 23808.70000   677.54000     0.00000   262.70170
 23884.50000   677.54000     0.00000   246.66990
 23960.30000   677.54000     0.00000   279.00690
 24036.10000   677.54000     0.00000   280.71390
 24111.90000   677.54000     0.00000   258.10970
 24187.70000   677.54000     0.00000   253.90580
 24263.50000   677.54000     0.00000   241.19060
 24339.30000   677.54000     0.00000   267.21550
 24415.10000   677.54000     0.00000   234.07100
 24491.00000   677.54000     0.00000   255.33860
 24566.80000   677.54000     0.00000   255.10290
 24642.60000   677.54000     0.00000   254.22890
 24718.40000   677.54000     0.00000   237.10020
 24794.20000   677.54000     0.00000   282.95720
 24870.00000   677.54000     0.00000   264.95280
 24945.80000   677.54000     0.00000   234.95490
 25021.60000   677.54000     0.00000   280.30670
 25097.40000   677.54000     0.00000   257.34320
 25173.20000   677.54000     0.00000   230.51410
 25249.00000   677.54000     0.00000   230.66050
 25324.80000   677.54000     0.00000   228.85730
 25400.70000   677.54000     0.00000   228.71490
 25476.50000   677.54000     0.00000   269.65280
 25552.30000   677.54000     0.00000   227.14430
 25628.10000   677.54000     0.00000   243.12440
 25703.90000   677.54000     0.00000   224.93760
 25779.70000   677.54000     0.00000   247.43160
 23385.40000   677.54000     0.00000   380.92740
 23363.60000   687.27100     0.00000   390.05620
 23353.80000   691.60300     0.00000     0.00000
 23311.10000   710.62500     0.00000   221.78980
 23278.00000   725.35600     0.00000   313.62540
 23258.60000   733.97900     0.00000   280.10520
 23278.00000   753.34900     0.00000   322.49050
 23353.80000   753.34900     0.00000   249.44260
 23429.60000   753.34900     0.00000   248.03590
 23505.40000   753.34900     0.00000   278.91940
 23581.20000   753.34900     0.00000   278.98780
 23657.10000   753.34900     0.00000   278.96660
 23732.90000   753.34900     0.00000   246.70850
 23808.70000   753.34900     0.00000   267.82880
 23884.50000   753.34900     0.00000   258.53660
 23960.30000   753.34900     0.00000   259.15180
 24036.10000   753.34900     0.00000   250.39830
 24111.90000   753.34900     0.00000   246.57990
 24187.70000   753.34900     0.00000   271.60380
 24263.50000   753.34900     0.00000   239.50410
 24339.30000   753.34900     0.00000   256.20800
 24415.10000   753.34900     0.00000   254.70680
 24491.00000   753.34900     0.00000   254.74830
 24566.80000   753.34900     0.00000   237.73770
 24642.60000   753.34900     0.00000   236.03850
 24718.40000   753.34900     0.00000   264.98380
 24794.20000   753.34900     0.00000   236.72130
 24870.00000   753.34900     0.00000   232.87640
 24945.80000   753.34900     0.00000   258.02520
 25021.60000   753.34900     0.00000   229.34660
 25097.40000   753.34900     0.00000   229.91950
 25173.20000   753.34900     0.00000   229.73500
 25249.00000   753.34900     0.00000   228.22040
 25324.80000   753.34900     0.00000   259.84390
 25400.70000   753.34900     0.00000   226.78650
 25476.50000   753.34900     0.00000   226.11550
 25552.30000   753.34900     0.00000   225.64320
 25628.10000   753.34900     0.00000   249.60640
 25703.90000   753.34900     0.00000   279.21550
 25779.70000   753.34900     0.00000   234.24330
 23215.10000   753.34900     0.00000   309.26860
 23206.20000   757.33400     0.00000     0.00000
 23202.20000   759.10800     0.00000     0.00000
 23153.70000   780.68800     0.00000   243.39450
 23126.40000   792.86000     0.00000   400.68830
 23101.30000   804.04200     0.00000   240.72850
 23050.60000   826.61300     0.00000   290.11120
 23048.80000   827.39700     0.00000   290.11120
 23050.60000   829.15800     0.00000   360.89590
 23126.40000   829.15800     0.00000   265.03800
 23202.20000   829.15800     0.00000   251.20960
 23278.00000   829.15800     0.00000   248.37300
 23353.80000   829.15800     0.00000   248.21030
 23429.60000   829.15800     0.00000   268.50990
 23505.40000   829.15800     0.00000   271.68760
 23581.20000   829.15800     0.00000   246.69770
 23657.10000   829.15800     0.00000   267.83010
 23732.90000   829.15800     0.00000   258.65180
 23808.70000   829.15800     0.00000   259.14070
 23884.50000   829.15800     0.00000   247.50970
 23960.30000   829.15800     0.00000   237.92080
 24036.10000   829.15800     0.00000   266.00390
 24111.90000   829.15800     0.00000   237.83460
 24187.70000   829.15800     0.00000   260.58440
 24263.50000   829.15800     0.00000   254.81310
 24339.30000   829.15800     0.00000   254.36270
 24415.10000   829.15800     0.00000   236.76890
 24491.00000   829.15800     0.00000   237.16290
 24566.80000   829.15800     0.00000   265.53340
 24642.60000   829.15800     0.00000   233.62940
 24718.40000   829.15800     0.00000   232.06760
 24794.20000   829.15800     0.00000   273.81730
 24870.00000   829.15800     0.00000   229.33920
 24945.80000   829.15800     0.00000   226.90830
 25021.60000   829.15800     0.00000   229.54430
 25097.40000   829.15800     0.00000   226.97160
 25173.20000   829.15800     0.00000   261.38740
 25249.00000   829.15800     0.00000   225.43600
 25324.80000   829.15800     0.00000   226.09970
 25400.70000   829.15800     0.00000   225.20410
 25476.50000   829.15800     0.00000   226.21570
 25552.30000   829.15800     0.00000   224.49540
 25628.10000   829.15800     0.00000   234.37040
 25703.90000   829.15800     0.00000   253.78000
 25779.70000   829.15800     0.00000   248.53150
 23044.90000   829.15800     0.00000   360.89590
 22996.40000   850.75100     0.00000   607.49970
 22974.80000   860.36500     0.00000   305.39520
 22943.90000   874.10500     0.00000   328.43990
 22899.00000   894.11700     0.00000   370.51280
 22891.50000   897.46000     0.00000   370.59080
 22899.00000   904.96600     0.00000   370.51280
 22974.80000   904.96600     0.00000   726.00240
 23050.60000   904.96600     0.00000   255.24230
 23126.40000   904.96600     0.00000   314.46980
 23202.20000   904.96600     0.00000   308.32910
 23278.00000   904.96600     0.00000   269.33110
 23353.80000   904.96600     0.00000   258.50190
 23429.60000   904.96600     0.00000   246.70690
 23505.40000   904.96600     0.00000   267.83170
 23581.20000   904.96600     0.00000   258.65570
 23657.10000   904.96600     0.00000   259.13380
 23732.90000   904.96600     0.00000   257.07510
 23808.70000   904.96600     0.00000   245.97020
 23884.50000   904.96600     0.00000   266.80880
 23960.30000   904.96600     0.00000   241.64210
 24036.10000   904.96600     0.00000   261.38540
 24111.90000   904.96600     0.00000   259.79730
 24187.70000   904.96600     0.00000   256.27160
 24263.50000   904.96600     0.00000   237.92780
 24339.30000   904.96600     0.00000   236.73340
 24415.10000   904.96600     0.00000   264.79150
 24491.00000   904.96600     0.00000   238.32910
 24566.80000   904.96600     0.00000   233.56590
 24642.60000   904.96600     0.00000   256.34410
 24718.40000   904.96600     0.00000   229.26880
 24794.20000   904.96600     0.00000   227.13470
 24870.00000   904.96600     0.00000   228.23720
 24945.80000   904.96600     0.00000   227.50670
 25021.60000   904.96600     0.00000   259.27510
 25097.40000   904.96600     0.00000   225.68420
 25173.20000   904.96600     0.00000   227.41320
 25249.00000   904.96600     0.00000   224.57750
 25324.80000   904.96600     0.00000   226.07520
 25400.70000   904.96600     0.00000   217.34040
 25476.50000   904.96600     0.00000   231.76730
 25552.30000   904.96600     0.00000   253.31810
 25628.10000   904.96600     0.00000   249.87320
 25703.90000   904.96600     0.00000   237.24320
 25779.70000   904.96600     0.00000   263.04470
 22874.60000   904.96600     0.00000   446.81840
 22839.00000   920.81400     0.00000   376.41710
 22823.20000   927.86900     0.00000   399.69040
 22786.60000   944.16800     0.00000   286.83170
 22747.40000   961.62200     0.00000   417.42130
 22734.10000   967.52200     0.00000   417.53830
 22747.40000   980.77500     0.00000   365.02330
 22823.20000   980.77500     0.00000   274.52780
 22899.00000   980.77500     0.00000   261.14200
 22974.80000   980.77500     0.00000   248.75140
 23050.60000   980.77500     0.00000   249.87840
 23126.40000   980.77500     0.00000   250.66800
 23202.20000   980.77500     0.00000   271.65760
 23278.00000   980.77500     0.00000   246.69790
 23353.80000   980.77500     0.00000   267.82960
 23429.60000   980.77500     0.00000   278.19400
 23505.40000   980.77500     0.00000   259.18910
 23581.20000   980.77500     0.00000   247.89720
 23657.10000   980.77500     0.00000   238.07990
 23732.90000   980.77500     0.00000   266.65500
 23808.70000   980.77500     0.00000   238.37120
 23884.50000   980.77500     0.00000   257.93350
 23960.30000   980.77500     0.00000   283.12620
 24036.10000   980.77500     0.00000   256.06940
 24111.90000   980.77500     0.00000   237.94780
 24187.70000   980.77500     0.00000   239.69130
 24263.50000   980.77500     0.00000   265.00470
 24339.30000   980.77500     0.00000   232.26550
 24415.10000   980.77500     0.00000   258.75850
 24491.00000   980.77500     0.00000   229.77870
 24566.80000   980.77500     0.00000   229.64510
 24642.60000   980.77500     0.00000   228.21410
 24718.40000   980.77500     0.00000   226.98150
 24794.20000   980.77500     0.00000   226.86720
 24870.00000   980.77500     0.00000   259.32930
 24945.80000   980.77500     0.00000   226.02460
 25021.60000   980.77500     0.00000   226.99630
 25097.40000   980.77500     0.00000   226.01540
 25173.20000   980.77500     0.00000   267.02140
 25249.00000   980.77500     0.00000   230.50680
 25324.80000   980.77500     0.00000   231.53010
 25400.70000   980.77500     0.00000   246.84510
 25476.50000   980.77500     0.00000   227.95710
 25552.30000   980.77500     0.00000   278.33630
 25628.10000   980.77500     0.00000   203.90270
 25703.90000   980.77500     0.00000   269.50400
 25779.70000   980.77500     0.00000   261.08490
 22704.30000   980.77500     0.00000   429.02850
 22681.60000   990.87600     0.00000   447.10000
 22671.50000   995.37400     0.00000   447.10000
 22629.20000  1014.23000     0.00000   375.50650
 22595.70000  1029.13000     0.00000   352.09220
 22576.70000  1037.58000     0.00000   350.20820
 22595.70000  1056.58000     0.00000   316.48780
 22671.50000  1056.58000     0.00000   295.43950
 22747.40000  1056.58000     0.00000   295.86070
 22823.20000  1056.58000     0.00000   250.58510
 22899.00000  1056.58000     0.00000   264.97210
 22974.80000  1056.58000     0.00000   285.41900
 23050.60000  1056.58000     0.00000   274.23490
 23126.40000  1056.58000     0.00000   291.53080
 23202.20000  1056.58000     0.00000   265.24290
 23278.00000  1056.58000     0.00000   254.88220
 23353.80000  1056.58000     0.00000   259.53350
 23429.60000  1056.58000     0.00000   257.83660
 23505.40000  1056.58000     0.00000   245.32900
 23581.20000  1056.58000     0.00000   266.76050
 23657.10000  1056.58000     0.00000   266.64660
 23732.90000  1056.58000     0.00000   257.04630
 23808.70000  1056.58000     0.00000   258.26210
 23884.50000  1056.58000     0.00000   279.93880
 23960.30000  1056.58000     0.00000   252.10600
 24036.10000  1056.58000     0.00000   240.99830
 24111.90000  1056.58000     0.00000   266.43290
 24187.70000  1056.58000     0.00000   239.99800
 24263.50000  1056.58000     0.00000   232.46120
 24339.30000  1056.58000     0.00000   257.11930
 24415.10000  1056.58000     0.00000   230.25510
 24491.00000  1056.58000     0.00000   228.85660
 24566.80000  1056.58000     0.00000   228.41350
 24642.60000  1056.58000     0.00000   228.43280
 24718.40000  1056.58000     0.00000   259.45420
 24794.20000  1056.58000     0.00000   224.90050
 24870.00000  1056.58000     0.00000   225.07820
 24945.80000  1056.58000     0.00000   227.59160
 25021.60000  1056.58000     0.00000   265.13810
 25097.40000  1056.58000     0.00000   230.72460
 25173.20000  1056.58000     0.00000   232.43610
 25249.00000  1056.58000     0.00000   245.58990
 25324.80000  1056.58000     0.00000   227.64050
 25400.70000  1056.58000     0.00000   261.12090
 25476.50000  1056.58000     0.00000   204.06180
 25552.30000  1056.58000     0.00000   264.35100
 25628.10000  1056.58000     0.00000   246.48370
 25703.90000  1056.58000     0.00000   250.52530
 25779.70000  1056.58000     0.00000   207.81030
 22534.10000  1056.58000     0.00000   340.40730
 22524.30000  1060.94000     0.00000   340.40730
 22519.90000  1062.88000     0.00000   340.40730
 22471.80000  1084.29000     0.00000   355.74060
 22444.10000  1096.63000     0.00000   285.81440
 22419.40000  1107.65000     0.00000   220.57100
 22368.30000  1130.38000     0.00000   379.45870
 22366.90000  1131.00000     0.00000   379.64090
 22368.30000  1132.39000     0.00000   380.64670
 22444.10000  1132.39000     0.00000   275.74840
 22519.90000  1132.39000     0.00000   276.12590
 22595.70000  1132.39000     0.00000   257.98600
 22671.50000  1132.39000     0.00000   252.44830
 22747.40000  1132.39000     0.00000   253.11970
 22823.20000  1132.39000     0.00000   253.68770
 22899.00000  1132.39000     0.00000   347.81150
 22974.80000  1132.39000     0.00000   249.57250
 23050.60000  1132.39000     0.00000   270.43110
 23126.40000  1132.39000     0.00000   270.45590
 23202.20000  1132.39000     0.00000   261.59290
 23278.00000  1132.39000     0.00000   252.80000
 23353.80000  1132.39000     0.00000   242.39140
 23429.60000  1132.39000     0.00000   274.40590
 23505.40000  1132.39000     0.00000   240.38570
 23581.20000  1132.39000     0.00000   257.34840
 23657.10000  1132.39000     0.00000   256.52710
 23732.90000  1132.39000     0.00000   266.66950
 23808.70000  1132.39000     0.00000   292.70250
 23884.50000  1132.39000     0.00000   247.08160
 23960.30000  1132.39000     0.00000   266.48630
 24036.10000  1132.39000     0.00000   232.72190
 24111.90000  1132.39000     0.00000   259.25180
 24187.70000  1132.39000     0.00000   230.09890
 24263.50000  1132.39000     0.00000   228.47090
 24339.30000  1132.39000     0.00000   228.82790
 24415.10000  1132.39000     0.00000   264.46860
 24491.00000  1132.39000     0.00000   227.73510
 24566.80000  1132.39000     0.00000   260.12130
 24642.60000  1132.39000     0.00000   226.79550
 24718.40000  1132.39000     0.00000   224.77330
 24794.20000  1132.39000     0.00000   225.13210
 24870.00000  1132.39000     0.00000   265.91250
 24945.80000  1132.39000     0.00000   229.61520
 25021.60000  1132.39000     0.00000   240.17830
 25097.40000  1132.39000     0.00000   245.73790
 25173.20000  1132.39000     0.00000   261.49560
 25249.00000  1132.39000     0.00000   202.51340
 25324.80000  1132.39000     0.00000   242.54770
 25400.70000  1132.39000     0.00000   260.10680
 25476.50000  1132.39000     0.00000   238.98590
 25552.30000  1132.39000     0.00000   245.36310
 25628.10000  1132.39000     0.00000   200.71970
 25703.90000  1132.39000     0.00000     0.00000
 25779.70000  1132.39000     0.00000   251.82880
 22363.80000  1132.39000     0.00000   387.68470
 22314.50000  1154.36000     0.00000   372.26520
 22292.50000  1164.13000     0.00000   319.17140
 22262.00000  1177.71000     0.00000   296.55590
 22216.70000  1197.89000     0.00000   349.25860
 22209.60000  1201.06000     0.00000   382.26310
 22216.70000  1208.20000     0.00000   350.38340
 22292.50000  1208.20000     0.00000   281.64980
 22368.30000  1208.20000     0.00000   268.25720
 22444.10000  1208.20000     0.00000   248.26920
 22519.90000  1208.20000     0.00000   316.93300
 22595.70000  1208.20000     0.00000   252.40450
 22671.50000  1208.20000     0.00000   270.96270
 22747.40000  1208.20000     0.00000   274.18980
 22823.20000  1208.20000     0.00000   256.16920
 22899.00000  1208.20000     0.00000   270.43120
 22974.80000  1208.20000     0.00000   257.80960
 23050.60000  1208.20000     0.00000   260.92660
 23126.40000  1208.20000     0.00000   261.09640
 23202.20000  1208.20000     0.00000   248.04820
 23278.00000  1208.20000     0.00000   242.23040
 23353.80000  1208.20000     0.00000   269.28720
 23429.60000  1208.20000     0.00000   259.56060
 23505.40000  1208.20000     0.00000   271.34720
 23581.20000  1208.20000     0.00000   274.06090
 23657.10000  1208.20000     0.00000   265.05180
 23732.90000  1208.20000     0.00000   246.83380
 23808.70000  1208.20000     0.00000   269.59180
 23884.50000  1208.20000     0.00000   238.54680
 23960.30000  1208.20000     0.00000   231.37080
 24036.10000  1208.20000     0.00000   257.97060
 24111.90000  1208.20000     0.00000   229.26640
 24187.70000  1208.20000     0.00000   228.37330
 24263.50000  1208.20000     0.00000   227.71070
 24339.30000  1208.20000     0.00000   227.17520
 24415.10000  1208.20000     0.00000   259.91530
 24491.00000  1208.20000     0.00000   226.35850
 24566.80000  1208.20000     0.00000   225.48900
 24642.60000  1208.20000     0.00000   226.20650
 24718.40000  1208.20000     0.00000   266.78840
 24794.20000  1208.20000     0.00000   231.24990
 24870.00000  1208.20000     0.00000   229.21970
 24945.80000  1208.20000     0.00000   246.81680
 25021.60000  1208.20000     0.00000   259.77550
 25097.40000  1208.20000     0.00000   201.88100
 25173.20000  1208.20000     0.00000   240.17320
 25249.00000  1208.20000     0.00000   260.40190
 25324.80000  1208.20000     0.00000   238.37880
 25400.70000  1208.20000     0.00000   237.97980
 25476.50000  1208.20000     0.00000   200.90210
 25552.30000  1208.20000     0.00000   247.79180
 25628.10000  1208.20000     0.00000   251.70070
 25703.90000  1208.20000     0.00000   282.06660
 25779.70000  1208.20000     0.00000   238.62060
 22193.50000  1208.20000     0.00000   434.11170
 22157.10000  1224.42000     0.00000   430.67980
 22140.90000  1231.64000     0.00000   471.73670
 22104.60000  1247.77000     0.00000   310.88380
 22065.10000  1265.39000     0.00000   360.37600
 22052.20000  1271.13000     0.00000   344.02830
 22065.10000  1284.01000     0.00000   309.75750
 22140.90000  1284.01000     0.00000   461.76570
 22216.70000  1284.01000     0.00000   263.34270
 22292.50000  1284.01000     0.00000   252.91910
 22368.30000  1284.01000     0.00000   264.10140
 22444.10000  1284.01000     0.00000   251.96540
 22519.90000  1284.01000     0.00000   255.29980
 22595.70000  1284.01000     0.00000   274.19010
 22671.50000  1284.01000     0.00000   249.49960
 22747.40000  1284.01000     0.00000   270.43030
 22823.20000  1284.01000     0.00000   255.00160
 22899.00000  1284.01000     0.00000   260.67360
