x(m)        y(m)        z(m)        h max (m)
 25476.50000   450.11400     0.00000     6.75660
 25552.30000   450.11400     0.00000     6.75010
 25628.10000   450.11400     0.00000     6.76230
 25703.90000   450.11400     0.00000     7.08740
 25779.70000   450.11400     0.00000     6.75870
 23896.20000   450.11400     0.00000     0.00000
 23888.10000   453.72900     0.00000     0.00000
 23884.50000   455.33800     0.00000     0.00000
 23835.60000   477.08300     0.00000     3.88290
 23808.70000   489.09000     0.00000     7.04020
 23783.20000   500.43700     0.00000     0.88790
 23732.90000   522.84300     0.00000     7.55980
 23730.70000   523.79200     0.00000     7.56020
 23732.90000   525.92300     0.00000     7.70980
 23808.70000   525.92300     0.00000     7.21600
 23884.50000   525.92300     0.00000     6.74400
 23960.30000   525.92300     0.00000     6.74070
 24036.10000   525.92300     0.00000     6.77330
 24111.90000   525.92300     0.00000     6.74230
 24187.70000   525.92300     0.00000     6.82830
 24263.50000   525.92300     0.00000     7.19910
 24339.30000   525.92300     0.00000     8.11380
 24415.10000   525.92300     0.00000     8.32590
 24491.00000   525.92300     0.00000     6.88680
 24566.80000   525.92300     0.00000     6.94460
 24642.60000   525.92300     0.00000     8.37550
 24718.40000   525.92300     0.00000     7.47140
 24794.20000   525.92300     0.00000     6.74930
 24870.00000   525.92300     0.00000     6.81800
 24945.80000   525.92300     0.00000     6.73900
 25021.60000   525.92300     0.00000     6.79340
 25097.40000   525.92300     0.00000     6.74840
 25173.20000   525.92300     0.00000     6.76370
 25249.00000   525.92300     0.00000     6.73850
 25324.80000   525.92300     0.00000     6.76560
 25400.70000   525.92300     0.00000     6.74650
 25476.50000   525.92300     0.00000     6.74250
 25552.30000   525.92300     0.00000     6.75060
 25628.10000   525.92300     0.00000     6.76430
 25703.90000   525.92300     0.00000     7.18480
 25779.70000   525.92300     0.00000     7.01760
 23725.90000   525.92300     0.00000     8.06140
 23678.30000   547.14600     0.00000     8.95000
 23657.10000   556.59500     0.00000     0.00000
 23625.80000   570.50000     0.00000     6.24910
 23581.20000   590.34700     0.00000     8.20420
 23573.40000   593.85400     0.00000     7.57540
 23581.20000   601.73200     0.00000     8.20420
 23657.10000   601.73200     0.00000     6.86620
 23732.90000   601.73200     0.00000     6.74510
 23808.70000   601.73200     0.00000     6.73930
 23884.50000   601.73200     0.00000     7.69090
 23960.30000   601.73200     0.00000     6.91150
 24036.10000   601.73200     0.00000     6.76460
 24111.90000   601.73200     0.00000     6.78160
 24187.70000   601.73200     0.00000     7.06760
 24263.50000   601.73200     0.00000     7.09400
 24339.30000   601.73200     0.00000     6.79180
 24415.10000   601.73200     0.00000     7.24570
 24491.00000   601.73200     0.00000     8.75860
 24566.80000   601.73200     0.00000     6.76980
 24642.60000   601.73200     0.00000     6.74340
 24718.40000   601.73200     0.00000     6.73860
 24794.20000   601.73200     0.00000     6.75640
 24870.00000   601.73200     0.00000     6.73800
 24945.80000   601.73200     0.00000     6.74020
 25021.60000   601.73200     0.00000     6.79470
 25097.40000   601.73200     0.00000     6.74840
 25173.20000   601.73200     0.00000     6.76300
 25249.00000   601.73200     0.00000     6.73740
 25324.80000   601.73200     0.00000     6.76320
 25400.70000   601.73200     0.00000     6.74930
 25476.50000   601.73200     0.00000     6.73970
 25552.30000   601.73200     0.00000     6.75120
 25628.10000   601.73200     0.00000     6.77060
 25703.90000   601.73200     0.00000     6.77910
 25779.70000   601.73200     0.00000     7.31470
 23555.70000   601.73200     0.00000     7.57540
 23520.90000   617.20800     0.00000     6.73260
 23505.40000   624.09900     0.00000     0.00000
 23468.50000   640.56300     0.00000     5.57740
 23429.60000   657.85100     0.00000     9.46040
 23416.00000   663.91700     0.00000     9.62080
 23429.60000   677.54000     0.00000     8.45220
 23505.40000   677.54000     0.00000     6.76500
 23581.20000   677.54000     0.00000     6.74200
 23657.10000   677.54000     0.00000     6.76080
 23732.90000   677.54000     0.00000     7.80520
 23808.70000   677.54000     0.00000     6.93060
 23884.50000   677.54000     0.00000     6.83390
 23960.30000   677.54000     0.00000     6.84220
 24036.10000   677.54000     0.00000     6.91230
 24111.90000   677.54000     0.00000     7.39970
 24187.70000   677.54000     0.00000     6.91740
 24263.50000   677.54000     0.00000     8.48700
 24339.30000   677.54000     0.00000     9.52790
 24415.10000   677.54000     0.00000     7.96290
 24491.00000   677.54000     0.00000     6.74570
